gene_name	ko
L115_gene_67184	K03340
T2D-177A_GL0017947	K02478
T2D-177A_GL0017947	K07704
T2D-177A_GL0017947	K08082
MH0018_GL0019442	K02563
MH0055_GL0057313	K15635
V1.UC13-0_GL0016100	K10954
L44_gene_2507	K07497
MH0238_GL0074236	K06610
MH0428_GL0025957	K02014
MH0428_GL0025957	K21573
MH0010_GL0038191	K10439
MH0010_GL0038191	K02058
MH0010_GL0038191	K01768
V1.FI26_GL0199533	K01265
T2D-45A_GL0021922	K03289
T2D-45A_GL0021922	K11537
T2D-45A_GL0070657	K06894
H59_gene_41802	K11720
RA09_contig:gene_id_1032	K16089
T2D-45A_GL0055280	K09014
MH0055_GL0073890	K01768
MH0055_GL0073890	K19694
MH0055_GL0073890	K20971
MH0055_GL0073890	K03407
MH0055_GL0073890	K20974
MH0055_GL0073890	K07679
N085A_GL0053831	K03040
N043A_GL0043778	K08679
V1.UC63-0_GL0214217	K07720
V1.UC63-0_GL0214217	K02099
L124_gene_27467	K07493
T2D-45A_GL0023087	K06373
T2D-45A_GL0023087	K06374
H_P1_gene_485873	K06217
AS84:gene_id_22391	K15923
H65_gene_26653	K03040
HD-32:gene_id_23537	K01190
L34_gene_6410	K03088
H65_gene_20241	K03811
L115_gene_43334	K06173
O2.UC48-1_GL0152807	K07506
O2.UC48-1_GL0152807	K02855
O2.UC48-1_GL0152807	K07720
O2.UC48-1_GL0152807	K13653
L115_gene_1914	K03832
HD-43:gene_id_10278	K03177
T2D-52A_GL0074753	K02986
MH0246_GL0098653	K01703
MH0246_GL0098653	K01705
MH0411_GL0012958	K13012
MH0411_GL0012958	K03606
MH0411_GL0012958	K21303
159611913-stool2_GL0101508	K07165
NLM005_GL0040903	K03559
T2D-45A_GL0069322	K03640
DOM012_GL0056948	K01768
DOM012_GL0056948	K20971
DOM012_GL0056948	K19694
SRA01_contig:gene_id_8436	K07137
MH0192_GL0091133	K01206
MH0142_GL0095699	K07165
MH0355_GL0094841	K07114
MH0094_GL0011529	K01903
O2.UC8-0_GL0094258	K00297
MH0238_GL0024309	K10742
H65_gene_78294	K06158
O2.UC8-0_GL0075140	K01661
MH0238_GL0191766	K03088
SRA01_contig:gene_id_6417	K00767
H22_gene_85603	K00661
H22_gene_85603	K13002
H22_gene_85603	K13683
V1.UC35-0_GL0020095	K03702
H_P1_gene_568333	K07258
MH0178_GL0027768	K01869
160319967-stool1_GL0021747	K01897
O2.UC30-0_GL0104119	K15923
159571453-stool1_GL0045598	K21449
MH0115_GL0022680	K19002
MH0115_GL0022680	K12995
MH0115_GL0022680	K13668
MH0115_GL0022680	K16149
MH0115_GL0022680	K19422
DOM012_GL0007806	K03978
AS77:gene_id_55385	K07391
MH0085_GL0038259	K07106
O2.UC2-1_GL0081453	K07133
MH0097_GL0000634	K19425
MH0321_GL0116338	K02564
MH0334_GL0115511	K07132
MH0238_GL0007066	K01895
MH0238_GL0007066	K00634
765560005-stool1_GL0017802	K18908
765560005-stool1_GL0017802	K03327
L90_gene_5275	K21572
AS40:gene_id_21439	K00059
AS40:gene_id_21439	K03331
AS40:gene_id_21439	K13370
AS40:gene_id_21439	K07535
AS40:gene_id_21439	K00076
AS40:gene_id_15582	K12995
AS40:gene_id_15582	K19002
AS40:gene_id_15582	K19424
AS40:gene_id_15582	K14335
MH0109_GL0034652	K01768
MH0109_GL0034652	K19694
MH0109_GL0034652	K20971
MH0109_GL0034652	K13924
MH0109_GL0034652	K20974
MH0400_GL0050641	K01866
S_P2_gene_393280	K01442
HD-33:gene_id_31776	K03773
HD-33:gene_id_31776	K01802
S_P2_gene_430950	K21029
S_P2_gene_430950	K21147
MH0319_GL0135130	K21572
AS18:gene_id_54538	K03310
O2.UC52-2_GL0062668	K06396
O2.UC5-0_GL0128462	K03892
MH0238_GL0181410	K16089
MH0094_GL0093565	K17810
MH0094_GL0093565	K01955
N011A_GL0091995	K07149
V1.FI15_GL0148961	K01938
L117_gene_16460	K03832
L89_gene_13837	K03088
MH0321_GL0134071	K03086
SRA01_contig:gene_id_59595	K01754
O2.UC8-0_GL0067137	K03629
T2D-29A_GL0115627	K13614
T2D-29A_GL0115627	K16027
L6_gene_49744	K14445
MH0442_GL0211790	K11921
MH0442_GL0211790	K19338
MH0442_GL0211790	K17737
MH0442_GL0211790	K04761
O2.UC36-0_GL0184220	K12132
O2.UC37-1_GL0011257	K01480
MH0094_GL0040217	K03790
MH0094_GL0040217	K13832
AS38:gene_id_25413	K07407
MH0238_GL0042404	K00939
V1.UC26-4_GL0195091	K01091
AS34:gene_id_34403	K18691
AS54:gene_id_46155	K01673
MH0355_GL0201501	K03685
MH0321_GL0103815	K03564
158337416-stool2_GL0007248	K01923
159490532-stool1_GL0049446	K07085
MH0088_GL0003474	K03215
AS121:gene_id_52101	K07493
MH0246_GL0057908	K03978
L104_gene_87192	K12340
MH0055_GL0007508	K03110
764325968-stool2_GL0061087	K00821
T2D-47A_GL0055220	K00096
MH0131_GL0126007	K03657
MH0308_GL0017615	K10231
MH0308_GL0017615	K21355
MH0188_GL0039088	K01649
MH0188_GL0039088	K02854
MH0188_GL0039088	K07720
O2.UC46-0_GL0025725	K02434
V1.UC26-4_GL0176853	K06950
MH0455_GL0151403	K03699
AS17:gene_id_29178	K03655
MH0055_GL0052342	K02356
AS15:gene_id_56625	K00067
O2.UC30-0_GL0026948	K03559
MH0238_GL0061103	K21572
MH0238_GL0089485	K00349
MH0238_GL0066365	K00525
MH0227_GL0077207	K03571
O2.CD1-0-PT_GL0028970	K14260
MH0182_GL0099798	K02112
MH0238_GL0061936	K21572
H65_gene_41598	K00798
160158126-stool2_GL0027222	K07257
MH0311_GL0089846	K03655
L62_gene_14231	K03088
764508039-stool1_GL0050251	K00812
MH0131_GL0043886	K09157
O2.UC20-1_GL0163962	K07816
MH0134_GL0049091	K18954
MH0134_GL0049091	K00941
MH0134_GL0049091	K07720
V1.CD25-0_GL0041252	K11021
O2.UC8-1_GL0156663	K06941
MH0379_GL0167923	K06919
MH0455_GL0089868	K03169
MH0364_GL0139218	K01815
MH0321_GL0093810	K03585
AS37:gene_id_9270	K03555
AS37:gene_id_9270	K08737
HD-48:gene_id_1616	K09955
SRA01_contig:gene_id_34157	K01533
L92_gene_33388	K00590
L92_gene_33388	K00571
AS34:gene_id_40994	K03617
H65_gene_57972	K07114
MH0238_GL0183224	K01847
AS15:gene_id_36193	K01835
AS100:gene_id_24703	K01190
L104_gene_137605	K07704
L104_gene_137605	K02478
T2D-45A_GL0145171	K01776
MH0211_GL0170431	K01258
V1.UC57-0_GL0013330	K04758
HD-45:gene_id_13900	K07165
T2D-45A_GL0076498	K07273
V1.FI31_GL0121060	K03286
MH0184_GL0033145	K19428
MH0184_GL0033145	K03606
MH0184_GL0033145	K13012
MH0184_GL0033145	K00996
N088A_GL0150434	K07507
MH0238_GL0134458	K03550
MH0055_GL0050622	K01424
DOM012_GL0017846	K02479
DOM012_GL0017846	K07692
DOM012_GL0017846	K07684
DOM012_GL0017846	K07696
DOM012_GL0017846	K11618
DOM012_GL0017846	K07689
DOM012_GL0017846	K07688
765074482-stool2_GL0131955	K07148
L7_gene_16133	K03308
MH0182_GL0036792	K03522
MH0060_GL0046605	K01190
MH0010_GL0036901	K20429
MH0055_GL0065195	K06889
MH0238_GL0112734	K01728
MH0238_GL0112734	K08604
V1.UC29-0_GL0018967	K19424
S_P1_gene_587336	K07126
MH0211_GL0183323	K07259
V1.UC28-0_GL0028468	K09955
MH0246_GL0092825	K08224
DLF013_GL0049330	K17836
DLF013_GL0049330	K01448
O2.UC30-0_GL0103302	K06879
O2.UC30-0_GL0103302	K02169
O2.UC30-0_GL0103302	K13638
L115_gene_68039	K04084
L115_gene_68039	K03671
L115_gene_68039	K09560
L115_gene_68039	K03672
AS37:gene_id_2215	K03305
RA02_contig:gene_id_14321	K03430
RA02_contig:gene_id_14321	K01841
RA02_contig:gene_id_14321	K04042
RA02_contig:gene_id_14321	K00973
V1.CD17-0_GL0065575	K17103
MH0128_GL0012580	K09955
MH0152_GL0056428	K00331
H60_gene_14426	K02867
MH0046_GL0031953	K01847
L105_gene_42719	K01190
L105_gene_42719	K01195
L105_gene_42719	K01192
MH0121_GL0079318	K00648
H16_gene_18407	K03783
DLF013_GL0030308	K21471
V1.FI10_GL0034743	K01624
MH0010_GL0019591	K03305
N031A_GL0007617	K07133
MH0457_GL0133596	K03826
MH0238_GL0085418	K01278
MH0191_GL0081251	K07165
MH0321_GL0087042	K01923
L7_gene_6535	K01911
MH0238_GL0127033	K01784
MH0238_GL0039112	K00287
MH0238_GL0021510	K01676
V1.CD34-0_GL0011866	K07720
MH0355_GL0199726	K21573
AS54:gene_id_4958	K07670
AS54:gene_id_4958	K02483
AS54:gene_id_4958	K07667
AS54:gene_id_4958	K07658
V1.FI19_GL0084279	K01193
MH0055_GL0025095	K19578
MH0055_GL0025095	K08153
MH0055_GL0025095	K08221
MH0238_GL0051119	K03470
L106_gene_26860	K18345
L106_gene_26860	K07652
V1.CD50-0_GL0019811	K02992
HD-60:gene_id_21244	K03315
MH0094_GL0052817	K09011
SRA01_contig:gene_id_45040	K16927
SRA01_contig:gene_id_45040	K16787
MH0013_GL0001692	K01216
MH0013_GL0001692	K01186
MH0013_GL0001692	K12373
MH0246_GL0133060	K00986
MH0094_GL0093720	K04115
MH0094_GL0093720	K04114
MH0142_GL0039276	K00661
MH0142_GL0039276	K00633
MH0142_GL0039276	K12267
MH0142_GL0039276	K03818
MH0142_GL0039276	K00638
MH0018_GL0007162	K07133
MH0106_GL0091766	K15532
MH0106_GL0091766	K05970
H2_gene_17302	K07165
MH0094_GL0107626	K03286
MH0457_GL0164982	K02837
HD-14:gene_id_1484	K00931
MH0055_GL0035609	K13378
T2D-45A_GL0019444	K03070
L14_gene_21036	K00853
L14_gene_21036	K00854
MH0178_GL0017333	K19117
O2.UC3-1_GL0167234	K01222
MH0377_GL0132319	K11755
V1.CD2-0_GL0005511	K15338
V1.CD2-0_GL0005511	K00459
V1.CD2-0_GL0005511	K14656
MH0055_GL0073911	K02334
V1.CD44-4_GL0080832	K20265
HD-45:gene_id_11703	K01205
L90_gene_42087	K05795
MH0211_GL0001545	K03568
O2.UC37-2_GL0029823	K06183
763536994-stool2_GL0016804	K01008
MH0152_GL0029141	K07304
MH0152_GL0029141	K12267
MH0238_GL0145881	K06867
V1.FI24_GL0094693	K02014
MH0161_GL0085859	K07443
MH0055_GL0067859	K00645
RA04_contig:gene_id_33701	K06187
L115_gene_72006	K06889
L115_gene_72006	K06196
L115_gene_72006	K02199
MH0428_GL0201286	K03657
MH0109_GL0048953	K21573
MH0109_GL0048953	K02014
L103_gene_154448	K06196
L103_gene_154448	K02199
L103_gene_154448	K17609
T2D-45A_GL0071184	K00941
L38_gene_46191	K03100
MH0132_GL0104050	K06871
MH0355_GL0116625	K01126
S_P2_gene_109750	K04758
O2.UC48-0_GL0270038	K06131
V1.FI14_GL0000499	K07979
MH0018_GL0006209	K21572
MH0433_GL0020600	K10440
MH0021_GL0027187	K19172
MH0021_GL0027187	K19175
MH0321_GL0039916	K02529
HD-48:gene_id_243	K06287
O2.UC37-0_GL0028039	K08257
MH0443_GL0023008	K12257
MH0443_GL0023008	K03074
O2.UC8-0_GL0054786	K02528
O2.UC24-0_GL0034795	K01153
AS37:gene_id_1467	K21147
AS37:gene_id_1467	K21029
MH0238_GL0005852	K03701
O2.UC35-1_GL0161665	K06167
HD-45:gene_id_5294	K03741
MH0138_GL0010915	K01259
V1.UC57-0_GL0088339	K02014
V1.UC57-0_GL0088339	K16092
V1.UC57-0_GL0088339	K16089
H78_gene_928	K01961
AS133:gene_id_31168	K11072
MH0044_GL0030646	K18954
MH0044_GL0030646	K02508
MH0238_GL0030211	K03654
SRA01_contig:gene_id_420331	K03111
MH0368_GL0149975	K07165
MH0094_GL0137133	K03546
MH0010_GL0027771	K01653
MH0448_GL0109576	K04488
SRA01_contig:gene_id_117306	K10974
H_P1_gene_433438	K03469
V1.UC40-1_GL0027762	K03327
V1.UC42-0_GL0151512	K06438
MH0246_GL0033392	K04771
MH0246_GL0033392	K04691
MH0246_GL0033392	K08372
MH0010_GL0041816	K00764
HD-58:gene_id_35217	K03775
O2.UC12-0_GL0003426	K13993
T2D-45A_GL0098483	K15460
H_P2_gene_567383	K10440
H_P2_gene_567383	K17206
H_P2_gene_567383	K17203
V1.FI04_GL0166897	K11021
T2D-127A_GL0009823	K00208
HD-43:gene_id_9702	K00763
O2.UC3-2_GL0057569	K10119
MH0389_GL0205218	K07741
MH0142_GL0062015	K01734
O2.UC41-0_GL0095597	K00640
V1.UC57-0_GL0100843	K07056
HD-43:gene_id_2138	K06217
MH0245_GL0178668	K07459
MH0271_GL0021122	K01153
L38_gene_7617	K19049
L38_gene_7617	K18581
MH0046_GL0039894	K06966
V1.FI04_GL0005104	K13652
O2.CD1-0_GL0200738	K03298
O2.UC30-1_GL0025764	K01190
HD-33:gene_id_41147	K01154
H65_gene_5369	K21572
ED13A_GL0079809	K05349
H60_gene_2297	K00634
H60_gene_2297	K00625
SRA02_contig:gene_id_183549	K10117
L105_gene_72610	K03088
T2D-45A_GL0080288	K07277
T2D-45A_GL0043634	K05366
MH0244_GL0145374	K02952
MH0419_GL0150926	K02551
MH0419_GL0150926	K00075
O2.UC16-1_GL0029132	K07133
MH0442_GL0203103	K15023
V1.CD12-3_GL0072585	K01198
V1.CD12-3_GL0072585	K06113
V1.CD12-3_GL0072585	K01209
MH0188_GL0051019	K05825
MH0188_GL0051019	K14265
T2D-45A_GL0052635	K06180
NOF010_GL0038604	K20429
HD-58:gene_id_13945	K03308
MH0094_GL0137130	K03088
158337416-stool1_GL0067398	K04763
N044A_GL0006004	K01768
N044A_GL0006004	K19694
N044A_GL0006004	K20971
N044A_GL0006004	K20974
N044A_GL0006004	K13924
N044A_GL0006004	K02030
L111_gene_43539	K02952
HD-21:gene_id_34334	K16092
MH0321_GL0092262	K01633
V1.UC64-0_GL0056532	K01776
MH0428_GL0007742	K01867
MH0055_GL0073888	K07240
RA08_contig:gene_id_89458	K07282
L104_gene_12149	K09458
MH0128_GL0055809	K01938
MH0238_GL0093000	K01733
SRA01_contig:gene_id_32070	K02048
O2.UC2-2_GL0166992	K07141
O2.UC2-2_GL0166992	K15634
L7_gene_28243	K01658
MH0121_GL0070978	K07649
MH0121_GL0070978	K18351
MH0121_GL0070978	K07645
MH0121_GL0070978	K18986
L45_gene_6535	K06897
V1.CD50-0_GL0109547	K03407
V1.CD50-0_GL0109547	K07652
V1.CD50-0_GL0109547	K13924
V1.CD50-0_GL0109547	K20971
V1.CD50-0_GL0109547	K10715
T2D-45A_GL0111593	K07560
V1.UC9-0_GL0029214	K11072
MH0094_GL0054642	K05810
AS15:gene_id_37478	K21571
MH0238_GL0003047	K04762
L106_gene_24584	K01662
MH0246_GL0038513	K02014
MH0246_GL0038513	K16089
DLM007_GL0065755	K03671
MH0055_GL0064361	K06075
MH0055_GL0064361	K15973
MH0224_GL0119511	K02996
SRA00_contig:gene_id_81610	K00784
MH0097_GL0028977	K11927
MH0253_GL0064353	K19693
MH0253_GL0064353	K07720
H91_gene_69015	K01915
MH0238_GL0163925	K18954
MH0238_GL0163925	K02016
MH0238_GL0163925	K13530
MH0238_GL0163925	K07506
MH0238_GL0083233	K20974
MH0238_GL0083233	K07677
MH0238_GL0083233	K13924
MH0238_GL0083233	K07647
MH0238_GL0083233	K19691
765701615-stool1_GL0070415	K07165
H_P2_gene_547664	K05896
MH0162_GL0036423	K03668
MH0162_GL0036423	K09914
HD-45:gene_id_23146	K01847
MH0321_GL0121900	K02120
V1.UC25-0_GL0013980	K03617
NOM009_GL0045078	K03189
O2.UC48-2_GL0034725	K01191
AS109:gene_id_9843	K00973
MH0142_GL0113047	K01867
T2D-45A_GL0021263	K00761
MH0114_GL0029713	K03530
MH0448_GL0089423	K03613
MH0436_GL0089987	K02843
MH0436_GL0089987	K02841
O2.CD2-0_GL0010323	K07154
O2.UC49-0_GL0138930	K07720
O2.UC49-0_GL0138930	K00941
O2.UC49-0_GL0138930	K18954
O2.UC49-0_GL0138930	K02016
MH0446_GL0061379	K05792
O2.UC48-0_GL0271405	K02503
MH0055_GL0039568	K00344
MH0055_GL0039568	K07068
SRA03_contig:gene_id_11930	K16089
SRA03_contig:gene_id_11930	K02014
763536994-stool2_GL0130217	K06400
AS37:gene_id_24839	K01676
V1.FI26_GL0041899	K01154
MH0071_GL0029232	K00008
MH0071_GL0029232	K00094
MH0146_GL0055921	K02377
MH0094_GL0018237	K03606
L104_gene_101706	K00791
V1.CD52-0_GL0117298	K01227
MH0055_GL0040031	K03503
MH0131_GL0120737	K02027
MH0131_GL0120737	K10240
AS103:gene_id_43668	K00945
MH0128_GL0038953	K07132
O2.UC12-1_GL0102503	K02016
H65_gene_79008	K07277
RA04_contig:gene_id_176513	K01938
MH0382_GL0159553	K09157
AS133:gene_id_23665	K03364
AS133:gene_id_23665	K11293
AS133:gene_id_23665	K17286
MH0046_GL0043660	K01104
HD-50:gene_id_17855	K13924
HD-50:gene_id_17855	K11527
HD-50:gene_id_17855	K05962
HD-50:gene_id_17855	K07679
HD-50:gene_id_17855	K19616
HD-50:gene_id_17855	K07647
HD-50:gene_id_17855	K03320
MH0246_GL0064337	K07192
V1.UC17-0_GL0002755	K03088
MH0244_GL0051304	K01156
N087A_GL0018740	K02377
T2D-45A_GL0097091	K06889
O2.UC12-2_GL0134993	K03043
NLM010_GL0045447	K01961
V1.UC30-0_GL0137633	K03177
H_P2_gene_419666	K08384
O2.UC8-0_GL0109243	K01915
SRA02_contig:gene_id_75451	K02551
SRA02_contig:gene_id_75451	K00075
MH0441_GL0078700	K01591
V1.FI15_GL0129145	K01620
MH0131_GL0172105	K03431
MH0188_GL0008395	K00656
O2.UC8-0_GL0035181	K08303
V1.UC17-0_GL0014005	K01897
NLM004_GL0058370	K02355
160502038-stool1_GL0067366	K10190
MH0450_GL0095757	K01495
SRA00_contig:gene_id_28141	K00557
SRA00_contig:gene_id_28141	K03215
MH0055_GL0029157	K01489
MH0238_GL0122034	K18682
MH0238_GL0009815	K08191
N075A_GL0120447	K21572
H_P2_gene_428314	K11392
L105_gene_35492	K07407
H_P2_gene_51705	K16785
O2.UC35-1_GL0060254	K16701
O2.UC35-1_GL0060254	K17249
MH0109_GL0019629	K00548
MH0109_GL0019629	K16179
MH0301_GL0129644	K00558
AS6:gene_id_99907	K07443
MH0142_GL0094763	K02016
HD-58:gene_id_24146	K07259
O2.UC6-1_GL0011377	K01990
MH0013_GL0033264	K00566
159571453-stool1_GL0023600	K01209
159571453-stool1_GL0023600	K01198
H93_gene_86137	K07089
NLF006_GL0024660	K06200
MH0094_GL0049768	K01911
H33_gene_15771	K21573
L104_gene_12156	K00566
MH0357_GL0015627	K17732
O2.UC46-0_GL0063635	K03664
MH0238_GL0065635	K01091
MH0238_GL0065635	K06019
V1.CD1-0-PN_GL0061521	K10121
V1.CD1-0-PN_GL0061521	K02025
L115_gene_50290	K06196
L115_gene_50290	K02199
O2.UC48-0_GL0180030	K03768
O2.UC16-0_GL0010200	K00970
O2.UC16-0_GL0010200	K00974
T2D-45A_GL0089892	K02495
MH0122_GL0027256	K01838
MH0122_GL0027256	K07025
MH0122_GL0027256	K01091
MH0238_GL0165105	K01711
MH0238_GL0165105	K12994
MH0238_GL0165105	K13001
159571453-stool1_GL0031457	K01813
O2.UC44-2_GL0309468	K11921
O2.UC44-2_GL0309468	K04761
L115_gene_58936	K02014
MH0091_GL0056424	K07231
T2D-45A_GL0023150	K11991
L71_gene_15910	K11021
H103_gene_95150	K01649
L49_gene_61866	K01406
L49_gene_61866	K20276
MH0188_GL0066032	K00759
MH0188_GL0155981	K12941
AS31:gene_id_1903	K01951
MH0055_GL0034884	K02501
HD-45:gene_id_5913	K02551
HD-21:gene_id_49323	K01847
V1.CD36-0_GL0036248	K00817
MH0418_GL0015077	K05989
L123_gene_59296	K17716
MH0001_GL0020148	K03797
H_P1_gene_358594	K00210
H_P1_gene_358594	K14170
H_P1_gene_358594	K04517
MH0055_GL0065536	K03530
MH0238_GL0089333	K05592
T2D-135A_GL0082067	K03387
O2.UC55-2_GL0042124	K21573
158458797-stool1_GL0056414	K01928
L67_gene_40234	K03150
NOF001_GL0059086	K03832
AS136:gene_id_61907	K13683
AS136:gene_id_61907	K13002
O2.UC49-0_GL0086653	K01448
V1.UC33-0_GL0176810	K03088
O2.UC48-0_GL0300812	K03768
MH0032_GL0028181	K02314
MH0032_GL0028181	K03655
MH0032_GL0028181	K06217
MH0182_GL0085374	K18303
MH0274_GL0047928	K07741
L40_gene_103991	K12132
V1.FI28_GL0098810	K01776
MH0327_GL0019756	K15023
MH0212_GL0018962	K03695
159227541-stool1_GL0033077	K05349
V1.UC12-4_GL0070532	K01420
T2D-45A_GL0062331	K12997
V1.UC54-0_GL0156188	K02836
H65_gene_76977	K03587
MH0055_GL0072788	K14379
T2D-45A_GL0059230	K00002
T2D-45A_GL0059230	K18369
O2.UC8-0_GL0155904	K01695
AS37:gene_id_38793	K09702
V1.FI19_GL0152690	K01091
MH0428_GL0034183	K03797
MH0428_GL0054579	K14645
MH0109_GL0089896	K00798
675950834-stool1_GL0098237	K02536
MH0055_GL0068799	K03526
RA02_contig:gene_id_51752	K00525
O2.UC37-0_GL0028030	K05349
MH0013_GL0018562	K03655
MH0374_GL0164725	K01586
MH0238_GL0091241	K07165
V1.UC3-0_GL0066799	K01873
O2.UC27-1_GL0074507	K03388
MH0238_GL0039244	K00767
MH0131_GL0011538	K11072
T2D-45A_GL0112290	K02843
HD-43:gene_id_7389	K02314
MH0280_GL0031128	K03088
MH0026_GL0024196	K07316
MH0026_GL0024196	K03580
SRA02_contig:gene_id_296197	K18700
SRA02_contig:gene_id_296197	K00974
SRA02_contig:gene_id_296197	K01715
T2D-45A_GL0023299	K03613
V1.FI24_GL0050870	K01192
H_P1_gene_476112	K06969
V1.UC52-1_GL0117635	K00945
V1.UC52-1_GL0117635	K03292
MH0238_GL0107314	K09710
MH0238_GL0037044	K15461
T2D-78A_GL0122502	K00548
V1.UC44-0_GL0009704	K07273
T2D-45A_GL0052236	K00174
T2D-45A_GL0088296	K03590
H80_gene_78401	K03442
MH0055_GL0004763	K14487
AS26:gene_id_9018	K21573
MH0224_GL0044997	K06147
SRA00_contig:gene_id_21518	K00957
SRA03_contig:gene_id_18708	K01216
SRA03_contig:gene_id_18708	K01186
SRA03_contig:gene_id_18708	K12373
MH0428_GL0077175	K03086
MH0010_GL0006407	K03550
HD-58:gene_id_13997	K00568
HD-58:gene_id_13997	K20444
L104_gene_95225	K07088
MH0322_GL0163360	K09955
AS37:gene_id_25432	K01173
MH0238_GL0073590	K14155
T2D-70A_GL0021315	K03387
MH0061_GL0043403	K15915
H88_gene_18295	K05349
MH0094_GL0130452	K03832
V1.UC5-0_GL0095027	K01154
MH0055_GL0041407	K03437
O2.UC48-0_GL0143450	K02029
O2.UC48-0_GL0143450	K02030
159268001-stool2_GL0018139	K02986
MH0238_GL0146046	K00243
MH0055_GL0033640	K03321
764325968-stool1_GL0101119	K11473
764325968-stool1_GL0101119	K08264
764325968-stool1_GL0101119	K18501
MH0055_GL0065100	K07588
T2D-45A_GL0122936	K06147
T2D-45A_GL0122936	K06148
T2D-45A_GL0122936	K11085
T2D-45A_GL0122936	K18889
T2D-45A_GL0122936	K11004
H78_gene_5235	K21572
MH0094_GL0005451	K03760
MH0094_GL0005451	K19353
MH0158_GL0009829	K02835
DLF013_GL0070359	K08316
MH0010_GL0004679	K07386
MH0238_GL0110345	K00951
L123_gene_31072	K06880
HD-60:gene_id_40861	K09816
MH0094_GL0012190	K01547
AS100:gene_id_32287	K01130
AS100:gene_id_32287	K01138
AS100:gene_id_32287	K03701
AS100:gene_id_32287	K01134
AS100:gene_id_32287	K01132
AS100:gene_id_32287	K01135
AS109:gene_id_5278	K02114
159207311-stool2_GL0189790	K01735
S_P2_gene_67303	K02528
L55_gene_133513	K03427
MH0238_GL0062258	K00820
T2D-78A_GL0011505	K21572
MH0147_GL0073437	K07011
MH0147_GL0073437	K09809
V1.CD49-0_GL0050546	K01179
HD-81:gene_id_67416	K21572
NLM016_GL0019578	K08681
V1.UC12-0_GL0077829	K21449
MH0094_GL0051874	K07407
MH0094_GL0084214	K02171
MH0238_GL0116885	K00826
MH0321_GL0059541	K02528
MH0321_GL0059541	K01823
MH0321_GL0059541	K03574
O2.UC49-0_GL0123912	K00286
H65_gene_1706	K11753
T2D-189A_GL0080877	K05919
MH0246_GL0006545	K18353
MH0131_GL0026104	K06973
MH0026_GL0032157	K09680
MH0238_GL0056588	K14058
MH0117_GL0062453	K03579
MH0276_GL0171478	K16327
AS37:gene_id_18384	K07004
763536994-stool1_GL0054897	K00548
H55_gene_125797	K03424
H31_gene_10524	K01218
H31_gene_10524	K19355
O2.UC35-2_GL0148326	K03534
NOM009_GL0073027	K11924
NOM009_GL0073027	K03709
O2.UC50-0_GL0080257	K01258
H_P2_gene_407887	K00336
L115_gene_49897	K03088
MH0341_GL0067457	K00845
MH0341_GL0067457	K18673
HD-32:gene_id_7845	K01972
HD-32:gene_id_7845	K07341
L115_gene_88556	K03150
MH0055_GL0024885	K03569
SRA00_contig:gene_id_367113	K03088
158802708-stool1_GL0166804	K02871
MH0377_GL0206582	K03857
MH0377_GL0206582	K06338
MH0377_GL0206582	K12874
MH0377_GL0206582	K16697
MH0377_GL0206582	K16703
MH0055_GL0010412	K10026
MH0224_GL0189650	K06894
V1.UC13-3_GL0023529	K16053
O2.UC35-0_GL0047933	K03613
MH0238_GL0041986	K03832
T2D-45A_GL0104109	K21572
763860675-stool2_GL0149860	K03775
O2.UC8-0_GL0124861	K00426
V1.UC12-4_GL0029222	K01448
V1.CD44-4_GL0002028	K00873
T2D-45A_GL0124852	K01897
MH0199_GL0166292	K01709
SRA02_contig:gene_id_1558	K03555
MH0055_GL0005949	K03744
AS34:gene_id_34875	K03654
O2.UC37-0_GL0028027	K01198
O2.UC37-0_GL0028027	K06113
MH0399_GL0097162	K03569
O2.UC8-0_GL0115874	K00024
MH0238_GL0048173	K03832
DOM014_GL0034922	K01934
T2D-78A_GL0114406	K07165
DLF013_GL0039154	K07718
T2D-45A_GL0131331	K19286
T2D-45A_GL0131331	K19285
T2D-45A_GL0131331	K10678
MH0055_GL0029155	K00783
L67_gene_35166	K20534
MH0196_GL0219884	K11749
T2D-29A_GL0075744	K04084
T2D-29A_GL0075744	K03671
MH0238_GL0070626	K08156
MH0342_GL0082874	K15923
MH0046_GL0051984	K07404
L104_gene_54034	K03088
MH0227_GL0108564	K01586
MH0030_GL0029211	K02909
MH0444_GL0099750	K19091
MH0238_GL0063670	K18197
O2.UC28-1_GL0151115	K21573
T2D-45A_GL0038184	K00382
Unknow_GL0160716	K03088
MH0376_GL0183043	K06196
MH0376_GL0183043	K02199
MH0376_GL0183043	K17609
O2.UC48-0_GL0189356	K10546
MH0098_GL0065565	K12995
MH0098_GL0065565	K16148
L70_gene_81336	K07165
AS34:gene_id_39180	K18139
AS34:gene_id_39180	K18138
AS34:gene_id_39180	K07796
L68_gene_76559	K00566
AS37:gene_id_21961	K02871
DLF013_GL0058981	K03789
DLF013_GL0000350	K00571
MH0430_GL0193269	K09797
159227541-stool1_GL0090888	K15921
159227541-stool1_GL0090888	K01209
159227541-stool1_GL0090888	K01198
V1.FI08_GL0118421	K21572
H91_gene_577	K00951
MH0032_GL0011564	K08218
MH0246_GL0030099	K03575
NLM015_GL0000276	K09013
MH0272_GL0131972	K00243
MH0010_GL0020320	K03527
MH0071_GL0063119	K14051
MH0071_GL0063119	K20965
MH0071_GL0063119	K21023
O2.UC12-2_GL0115164	K01924
MH0001_GL0015030	K06158
